TUE,CSE-24,B-404,X,B-404,AI,UHV,A-DL-002,AD,A-DL-002,AD(L),AD(L)
WED,CSE-24,---,X,B-403,X,CC|SPM,B-306,ML,B-306,X,X
THU,CSE-24,---,X,B-404,X,AI,B-304,UHV,B-304,CC|SPM,ML
FRI,CSE-24,---,X,B-404,ML,UHV,---,X,---,X,X
SAT,CSE-24,A-LH-005,ML,A-DL-102,AI(L),AI(L),B-204,CC|SPM,B-204,AI,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-25,---,X,B-404,X,UHV,A-DL-102,ML,A-DL-102,AI(L),AI(L)
TUE,CSE-25,---,X,---,X,X,---,X,---,X,X
WED,CSE-25,A-DL-102,AD,A-DL-102,AD(L),AD(L),B-401,UHV,B-401,AI,X
THU,CSE-25,---,X,B-405,X,ML,B-305,AI,B-305,CC|SPM,X
FRI,CSE-25,---,X,B-405,UHV,AI,B-401,ML,B-401,CC|SPM,X
SAT,CSE-25,---,X,---,X,X,B-205,ML,B-205,CC|SPM,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-26,B-405,X,B-405,AI,CC|SPM,B-401,ML,B-401,UHV,X
TUE,CSE-26,---,X,B-403,X,X,B-403,AI,B-403,UHV,ML
WED,CSE-26,---,X,---,X,X,---,X,---,X,X
THU,CSE-26,---,X,A-LH-003,X,ML,A-DL-108,AD,A-DL-108,AD(L),AD(L)
FRI,CSE-26,B-406,CC|SPM,B-406,ML,UHV,---,X,---,X,X
SAT,CSE-26,A-LH-202,AI,A-DL-001,AI(L),AI(L),B-206,CC|SPM,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-27,---,X,B-406,X,AI,B-402,UHV,B-402,CC|SPM,ML
TUE,CSE-27,---,X,B-405,X,UHV,B-404,ML,B-404,CC|SPM,X
WED,CSE-27,A-LH-010,ML,A-DL-108,AI(L),AI(L),B-402,AI,B-402,UHV,X
THU,CSE-27,---,X,---,X,X,---,X,---,X,X
FRI,CSE-27,---,X,B-301,X,ML,A-DL-102,AD,A-DL-102,AD(L),AD(L)
SAT,CSE-27,---,X,B-403,AI,CC|SPM,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-28,---,X,A-LH-003,ML,AI,B-403,CC|SPM,B-403,X,X
TUE,CSE-28,---,X,B-406,UHV,AI,B-405,CC|SPM,B-405,X,X
WED,CSE-28,---,X,B-404,X,CC|SPM,B-403,ML,B-403,UHV,X
THU,CSE-28,---,X,A-DL-002,AI(L),AI(L),B-306,AI,B-306,ML,UHV
FRI,CSE-28,---,X,---,X,X,---,X,---,X,X
SAT,CSE-28,---,X,B-404,X,ML,A-DL-002,AD,A-DL-002,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-29,---,X,A-LH-004,ML,AI,A-DL-108,AD,A-DL-108,AD(L),AD(L)
TUE,CSE-29,---,X,---,X,X,B-406,CC|SPM,B-406,AI,X
WED,CSE-29,B-405,X,B-405,AI,CC|SPM,B-404,ML,B-404,UHV,X
THU,CSE-29,---,X,---,X,X,B-401,UHV,B-401,ML,X
FRI,CSE-29,A-LH-009,ML,A-DL-102,AI(L),AI(L),B-402,CC|SPM,B-402,UHV,X
SAT,CSE-29,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-30,---,X,---,X,X,---,X,---,X,X
TUE,CSE-30,---,X,A-LH-004,X,ML,A-DL-102,AD,A-DL-102,AD(L),AD(L)
WED,CSE-30,B-406,ML,B-406,AI,CC|SPM,B-405,UHV,---,X,X
THU,CSE-30,---,X,A-LH-004,X,UHV,---,X,---,X,X
FRI,CSE-30,---,X,A-LH-004,ML,AI,B-403,CC|SPM,B-403,UHV,X
SAT,CSE-30,A-LH-010,AI,A-DL-108,AI(L),AI(L),B-301,ML,B-301,CC|SPM,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-31,A-LH-009,ML,A-DL-102,AI(L),AI(L),B-404,AI,B-404,UHV,X
TUE,CSE-31,---,X,---,X,X,---,X,---,X,X
WED,CSE-31,A-LH-003,X,A-LH-003,UHV,CC|SPM,A-DL-102,AD,A-DL-102,AD(L),AD(L)
THU,CSE-31,---,X,A-LH-005,X,AI,B-402,ML,B-402,CC|SPM,X
FRI,CSE-31,---,X,A-LH-005,X,AI,B-404,ML,B-404,UHV,X
SAT,CSE-31,---,X,---,X,X,---,X,B-302,CC|SPM,ML
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-32,---,X,A-LH-005,X,CC|SPM,B-405,AI,B-405,ML,UHV
TUE,CSE-32,A-LH-009,ML,A-DL-108,AI(L),AI(L),---,X,---,X,X
WED,CSE-32,---,X,---,X,X,---,X,---,X,X
THU,CSE-32,A-LH-009,X,A-LH-009,UHV,AI,A-DL-101,AD,A-DL-101,AD(L),AD(L)
FRI,CSE-32,---,X,A-LH-009,CC|SPM,ML,B-405,UHV,B-405,AI,X
SAT,CSE-32,---,X,---,X,X,B-303,CC|SPM,B-303,ML,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-33,---,X,A-LH-009,X,AI,B-406,UHV,B-406,CC|SPM,ML
TUE,CSE-33,A-LH-005,ML,A-LH-005,CC|SPM,UHV,---,X,---,X,X
WED,CSE-33,A-LH-105,X,A-DL-101,AI(L),AI(L),B-406,AI,B-406,UHV,ML
THU,CSE-33,---,X,---,X,X,---,X,---,X,X
FRI,CSE-33,---,X,A-LH-010,X,ML,A-DL-108,AD,A-DL-108,AD(L),AD(L)
SAT,CSE-33,B-405,CC|SPM,B-405,AI,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-34,---,X,A-LH-010,X,AI,A-LH-003,CC|SPM,A-LH-003,ML,X
TUE,CSE-34,---,X,A-LH-009,X,X,A-LH-003,AI,A-LH-003,UHV,X
WED,CSE-34,---,X,A-LH-004,X,UHV,A-LH-003,ML,A-LH-003,CC|SPM,AI
THU,CSE-34,---,X,A-DL-102,AI(L),AI(L),B-403,ML,B-403,UHV,CC|SPM
FRI,CSE-34,---,X,---,X,X,---,X,---,X,X
SAT,CSE-34,---,X,B-406,X,ML,A-DL-102,AD,A-DL-102,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
